id,category,date,expense_amt_categorized,username
Vivekanand.M.UAUT030225,Automotive,2025-02-03,834,Vivekanand.M.U
Vivekanand.M.UAUT031224,Automotive,2024-12-03,266,Vivekanand.M.U
Vivekanand.M.UAUT040225,Automotive,2025-02-04,150,Vivekanand.M.U
Vivekanand.M.UAUT060125,Automotive,2025-01-06,1143,Vivekanand.M.U
Vivekanand.M.UAUT060225,Automotive,2025-02-06,143,Vivekanand.M.U
Vivekanand.M.UAUT061224,Automotive,2024-12-06,293,Vivekanand.M.U
Vivekanand.M.UAUT070125,Automotive,2025-01-07,717,Vivekanand.M.U
Vivekanand.M.UAUT111224,Automotive,2024-12-11,1327,Vivekanand.M.U
Vivekanand.M.UAUT120225,Automotive,2025-02-12,361,Vivekanand.M.U
Vivekanand.M.UAUT130325,Automotive,2025-03-13,1125,Vivekanand.M.U
Vivekanand.M.UAUT160125,Automotive,2025-01-16,213,Vivekanand.M.U
Vivekanand.M.UAUT200225,Automotive,2025-02-20,1241,Vivekanand.M.U
Vivekanand.M.UAUT221124,Automotive,2024-11-22,1071,Vivekanand.M.U
Vivekanand.M.UAUT240225,Automotive,2025-02-24,1284,Vivekanand.M.U
Vivekanand.M.UAUT241224,Automotive,2024-12-24,835,Vivekanand.M.U
Vivekanand.M.UAUT250225,Automotive,2025-02-25,901,Vivekanand.M.U
Vivekanand.M.UAUT260125,Automotive,2025-01-26,1146,Vivekanand.M.U
Vivekanand.M.UAUT270225,Automotive,2025-02-27,378,Vivekanand.M.U
Vivekanand.M.UBIL010325,Bills & Utilities,2025-03-01,1227,Vivekanand.M.U
Vivekanand.M.UBIL020225,Bills & Utilities,2025-02-02,1158,Vivekanand.M.U
Vivekanand.M.UBIL020325,Bills & Utilities,2025-03-02,924,Vivekanand.M.U
Vivekanand.M.UBIL030125,Bills & Utilities,2025-01-03,196,Vivekanand.M.U
Vivekanand.M.UBIL030325,Bills & Utilities,2025-03-03,632,Vivekanand.M.U
Vivekanand.M.UBIL041124,Bills & Utilities,2024-11-04,973,Vivekanand.M.U
Vivekanand.M.UBIL041224,Bills & Utilities,2024-12-04,1207,Vivekanand.M.U
Vivekanand.M.UBIL051124,Bills & Utilities,2024-11-05,1479,Vivekanand.M.U
Vivekanand.M.UBIL051224,Bills & Utilities,2024-12-05,616,Vivekanand.M.U
Vivekanand.M.UBIL060325,Bills & Utilities,2025-03-06,134,Vivekanand.M.U
Vivekanand.M.UBIL080225,Bills & Utilities,2025-02-08,554,Vivekanand.M.U
Vivekanand.M.UBIL080325,Bills & Utilities,2025-03-08,1283,Vivekanand.M.U
Vivekanand.M.UBIL101124,Bills & Utilities,2024-11-10,705,Vivekanand.M.U
Vivekanand.M.UBIL101224,Bills & Utilities,2024-12-10,1097,Vivekanand.M.U
Vivekanand.M.UBIL170225,Bills & Utilities,2025-02-17,487,Vivekanand.M.U
Vivekanand.M.UBIL180125,Bills & Utilities,2025-01-18,1174,Vivekanand.M.U
Vivekanand.M.UBIL180225,Bills & Utilities,2025-02-18,197,Vivekanand.M.U
Vivekanand.M.UBIL190225,Bills & Utilities,2025-02-19,486,Vivekanand.M.U
